,name,genre,author,status,alt_title,views,score,nb_votes
0,Doraemon,Adventure-Comedy-Fantasy-Schoollife-Scifi-Sliceoflife,"
Fujiko F. Fujio ",Completed,ドラえもん; 哆啦A夢; 多啦A梦; 小叮噹; 小叮当; 机器猫; Đôrêmon; 萬能小叮噹; โดราเอมอน; 도라에몽; Doraemon Future Cat; Mèo Máy Đôrêmon; Doremon,4M,4.79,255
1,The Honor Student's Secret Job,Comedy-Schoollife-Shounen,"
Azuma Yuki ",Ongoing,Yuutousei to Himitsu no Oshigoto; 優等生と秘密のお仕事,3.8M,4.01,476
2,Kore kara Dandan Shiawase ni Natte Iku Kowai Onna Joushi,Comedy-Drama-Romance-Sliceoflife,"
Yano Toshinori ",Ongoing,"これからだんだん幸せになっていく怖い 女上司 ; رئيسة مرعبة تزداد سعادة وسعادة من الآن فصاعدًا ; Kore kara Dandan Shiawase ni Natte Iku Kowai Onna Joushi ; Korekara Dondon Shiawase ni Natte iku Kowai Jōshi ; A Scary Boss, But From Now on She's Going to Be Happier and Happier",195.2K,4.49,137
3,I Will Surrender the Position as Empress,Drama-Fantasy-Historical-Romance-Shoujo,"
마이구미 - 한보연 ",Ongoing,황후 자리를 버리겠습니다 ; I Will Give Up The Position as Empress,547.4K,4.73,259
4,44i99,Comedy,"
珠守 ",Ongoing,44 Loves 99 ; 44爱99,141.5K,2.18,175
5,Tonari no Kyuuketsuki-san,Comedy-Seinen-Sliceoflife-Supernatural,"
Amatou ",Ongoing,Ms. Vampire who lives in my neighborhood ; となりの吸血鬼さん ; 邻家的吸血鬼小妹,1.9M,4.61,197
6,Tonari no Kyuuketsuki-san,Comedy-Seinen-Sliceoflife-Supernatural,"
Amatou ",Ongoing,Ms. Vampire who lives in my neighborhood ; となりの吸血鬼さん ; 邻家的吸血鬼小妹,1.9M,4.61,197
7,Oretachi no Field,Drama-Shounen-Sports,"
Muraeda Kenichi ",Ongoing,俺たちのフィールド ; 我们的足球场 ; 足球好小子 ; Our Field of Dreams,711K,4.67,43
8,Drug Devourer,Action-Adventure-Fantasy-Shounen-Manhwa,"
Ara - Hanjib ",Ongoing,약빨이 신선함 ;The Medicine Is Fresh ,8.9M,4.57,743
9,It's Over! Empress’ Husband is Actually Invincible,Action-Adventure-Comedy-Drama-Fantasy-Historical-Romance,"
番茄漫画 ",Ongoing,Empress’ Husband is Actually Invincible; 完了啊！女帝的软饭丈夫居然无敌 / Wanliao Ah! Nvdi De Ruan Fan Zhangfu Juran Wudi,8.2M,"rate :
4.44/
5",5
10,What Do You Do If the Heroine Escapes From Your Novel?,Drama-Fantasy-Romance-Shoujo-Shoujoai,"
速度线工作室 ",Ongoing,Nǚ Zhǔ Cóng Shū Lǐ Pǎo Chūláile Zěnme Bàn Nữ chính từ trong sách chạy ra ngoài rồi phải làm sao đây What Do You Do if the Heroine Escapes From Your Novel? What to Do Now If the Heroine Escapes From the Book? 女主从书里跑出来了怎么办,33.5K,4.24,45
